"","Страна/Регион","Широта","Долгота","Сумма заболевших"
"143","Philippines",12.879721,121.774017,4077452
"144","Poland",51.9194,19.1451,6444960
"145","Portugal",39.3999,-8.2245,5570473
"146","Qatar",25.3548,51.1839,495090
"147","Romania",45.9432,24.9668,3346046
"148","Russia",61.52401,105.318756,22075858
"149","Rwanda",-1.9403,29.8739,133194
"150","Saint Kitts and Nevis",17.357822,-62.782998,6597
"151","Saint Lucia",13.9094,-60.9789,30004
"152","Saint Vincent and the Grenadines",12.9843,-61.2872,9589
"153","Samoa",-13.759,-172.1046,16607
"154","San Marino",43.9424,12.4578,23616
"155","Sao Tome and Principe",0.1864,6.6131,6281
"156","Saudi Arabia",23.885942,45.079162,830127
"157","Senegal",14.4974,-14.4524,88926
"158","Serbia",44.0165,21.0059,2500142
"159","Seychelles",-4.6796,55.492,50665
"160","Sierra Leone",8.460555,-11.779889,7760
"161","Singapore",1.2833,103.8333,2235294
"162","Slovakia",48.669,19.699,2667551
"163","Slovenia",46.1512,14.9955,1331707
"164","Solomon Islands",-9.6457,160.1562,24575
"165","Somalia",5.152149,46.199616,27324
"166","South Africa",-30.5595,22.9375,4067067
"167","South Sudan",6.877,31.307,18368
"168","Spain",40.463667,-3.74922,13770429
"169","Sri Lanka",7.873054,80.771797,672039
"170","Sudan",12.8628,30.2176,63829
"171","Summer Olympics 2020",35.6491,139.7737,865
"172","Suriname",3.9193,-56.0278,82467
"173","Sweden",60.128161,18.643501,2699339
"174","Switzerland",46.8182,8.2275,4413911
"175","Syria",34.802075,38.996815,57467
"176","Taiwan*",23.7,121,9970937
"177","Tajikistan",38.861,71.2761,17786
"178","Tanzania",-6.369028,34.888822,42906
"179","Thailand",15.870032,100.992541,4728182
"180","Timor-Leste",-8.874217,125.727539,23419
"181","Togo",8.6195,0.8248,39396
"182","Tonga",-21.179,-175.1982,16810
"183","Trinidad and Tobago",10.6918,-61.2225,189918
"184","Tunisia",33.886917,9.537499,1151126
"185","Turkey",38.9637,35.2433,17042722
"186","Tuvalu",-7.1095,177.6493,2805
"187","Uganda",1.373333,32.290275,170544
"188","Ukraine",48.3794,31.1656,5711929
"189","United Arab Emirates",23.424076,53.847818,1053213
"190","United Kingdom",22.4245596,-42.0220037333333,24658705
"191","Uruguay",-32.5228,-55.7658,1034303
"192","US",40,-100,103802702
"193","Uzbekistan",41.377491,64.585262,251247
"194","Vanuatu",-15.3767,166.9592,12014
"195","Venezuela",6.4238,-66.5897,552162
"196","Vietnam",14.058324,108.277199,11526994
"197","West Bank and Gaza",31.9522,35.2332,703228
"198","Winter Olympics 2022",39.9042,116.4074,535
"199","Yemen",15.552727,48.516388,11945
"200","Zambia",-13.133897,27.849332,343135
"201","Zimbabwe",-19.015438,29.154857,264276
